C:\My_Project\ALLEN_Python\homework_fall2023\venv\Scripts\python.exe C:\My_Project\ALLEN_Python\homework_fall2023\hw2\cs285\scripts\run_hw2.py --env_name CartPole-v0 -n 100 -b 1000 -rtg --exp_name cartpole_rtg
########################
logging outputs to  C:\My_Project\ALLEN_Python\homework_fall2023\hw2\cs285\scripts\../../data\q2_pg_cartpole_rtg_CartPole-v0_25-09-2023_20-07-48
########################
Using CPU.

********** Iteration 0 ************
C:\My_Project\ALLEN_Python\homework_fall2023\venv\lib\site-packages\gym\envs\registration.py:593: UserWarning: WARN: The environment CartPole-v0 is out of date. You should consider upgrading to version `v1`.
  logger.warn(
C:\My_Project\ALLEN_Python\homework_fall2023\venv\lib\site-packages\gym\core.py:317: DeprecationWarning: WARN: Initializing wrapper in old step API which returns one bool instead of two. It is recommended to set `new_step_api=True` to use new step API. This will be the default behaviour in future.
  deprecation(
C:\My_Project\ALLEN_Python\homework_fall2023\venv\lib\site-packages\gym\wrappers\step_api_compatibility.py:39: DeprecationWarning: WARN: Initializing environment in old step API which returns one bool instead of two. It is recommended to set `new_step_api=True` to use new step API. This will be the default behaviour in future.
  deprecation(
C:\My_Project\ALLEN_Python\homework_fall2023\venv\lib\site-packages\gym\utils\passive_env_checker.py:241: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
C:\My_Project\ALLEN_Python\homework_fall2023\venv\lib\site-packages\tensorboardX\summary.py:153: DeprecationWarning: Conversion of an array with ndim > 0 to a scalar is deprecated, and will error in future. Ensure you extract a single element from your array before performing this operation. (Deprecated NumPy 1.25.)
  scalar = float(scalar)
Eval_AverageReturn : 36.54545593261719
Eval_StdReturn : 28.0725154876709
Eval_MaxReturn : 94.0
Eval_MinReturn : 11.0
Eval_AverageEpLen : 36.54545454545455
Train_AverageReturn : 24.707317352294922
Train_StdReturn : 14.339513778686523
Train_MaxReturn : 83.0
Train_MinReturn : 9.0
Train_AverageEpLen : 24.70731707317073
Actor Loss : 11826.24609375
Train_EnvstepsSoFar : 1013
TimeSinceStart : 0.44060325622558594
Initial_DataCollection_AverageReturn : 24.707317352294922

********** Iteration 1 ************
Eval_AverageReturn : 36.0
Eval_StdReturn : 12.409673690795898
Eval_MaxReturn : 65.0
Eval_MinReturn : 14.0
Eval_AverageEpLen : 36.0
Train_AverageReturn : 40.79999923706055
Train_StdReturn : 29.549957275390625
Train_MaxReturn : 122.0
Train_MinReturn : 11.0
Train_AverageEpLen : 40.8
Actor Loss : 21323.919921875
Train_EnvstepsSoFar : 2033
TimeSinceStart : 0.8724155426025391

********** Iteration 2 ************
Eval_AverageReturn : 67.66666412353516
Eval_StdReturn : 35.97529983520508
Eval_MaxReturn : 126.0
Eval_MinReturn : 23.0
Eval_AverageEpLen : 67.66666666666667
Train_AverageReturn : 41.0
Train_StdReturn : 25.08600616455078
Train_MaxReturn : 121.0
Train_MinReturn : 14.0
Train_AverageEpLen : 41.0
Actor Loss : 19349.328125
Train_EnvstepsSoFar : 3099
TimeSinceStart : 1.332108736038208

********** Iteration 3 ************
Eval_AverageReturn : 54.625
Eval_StdReturn : 34.197723388671875
Eval_MaxReturn : 132.0
Eval_MinReturn : 17.0
Eval_AverageEpLen : 54.625
Train_AverageReturn : 56.22222137451172
Train_StdReturn : 32.891326904296875
Train_MaxReturn : 106.0
Train_MinReturn : 18.0
Train_AverageEpLen : 56.22222222222222
Actor Loss : 23919.0390625
Train_EnvstepsSoFar : 4111
TimeSinceStart : 1.7672147750854492

********** Iteration 4 ************
Eval_AverageReturn : 64.71428680419922
Eval_StdReturn : 32.034420013427734
Eval_MaxReturn : 127.0
Eval_MinReturn : 22.0
Eval_AverageEpLen : 64.71428571428571
Train_AverageReturn : 51.29999923706055
Train_StdReturn : 21.37311363220215
Train_MaxReturn : 94.0
Train_MinReturn : 18.0
