C:\My_Project\ALLEN_Python\homework_fall2023\venv\Scripts\python.exe C:\My_Project\ALLEN_Python\homework_fall2023\hw2\cs285\scripts\run_hw2.py --env_name CartPole-v0 -n 100 -b 4000 --exp_name cartpole_lb
########################
logging outputs to  C:\My_Project\ALLEN_Python\homework_fall2023\hw2\cs285\scripts\../../data\q2_pg_cartpole_lb_CartPole-v0_25-09-2023_20-53-19
########################
Using CPU.

********** Iteration 0 ************
C:\My_Project\ALLEN_Python\homework_fall2023\venv\lib\site-packages\gym\envs\registration.py:593: UserWarning: WARN: The environment CartPole-v0 is out of date. You should consider upgrading to version `v1`.
  logger.warn(
C:\My_Project\ALLEN_Python\homework_fall2023\venv\lib\site-packages\gym\core.py:317: DeprecationWarning: WARN: Initializing wrapper in old step API which returns one bool instead of two. It is recommended to set `new_step_api=True` to use new step API. This will be the default behaviour in future.
  deprecation(
C:\My_Project\ALLEN_Python\homework_fall2023\venv\lib\site-packages\gym\wrappers\step_api_compatibility.py:39: DeprecationWarning: WARN: Initializing environment in old step API which returns one bool instead of two. It is recommended to set `new_step_api=True` to use new step API. This will be the default behaviour in future.
  deprecation(
C:\My_Project\ALLEN_Python\homework_fall2023\venv\lib\site-packages\gym\utils\passive_env_checker.py:241: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
C:\My_Project\ALLEN_Python\homework_fall2023\venv\lib\site-packages\tensorboardX\summary.py:153: DeprecationWarning: Conversion of an array with ndim > 0 to a scalar is deprecated, and will error in future. Ensure you extract a single element from your array before performing this operation. (Deprecated NumPy 1.25.)
  scalar = float(scalar)
Eval_AverageReturn : 25.0625
Eval_StdReturn : 16.652585983276367
Eval_MaxReturn : 84.0
Eval_MinReturn : 12.0
Eval_AverageEpLen : 25.0625
Train_AverageReturn : 23.845237731933594
Train_StdReturn : 12.287715911865234
Train_MaxReturn : 68.0
Train_MinReturn : 8.0
Train_AverageEpLen : 23.845238095238095
Actor Loss : 83088.25
Train_EnvstepsSoFar : 4006
TimeSinceStart : 1.1618034839630127
Initial_DataCollection_AverageReturn : 23.845237731933594

********** Iteration 1 ************
Eval_AverageReturn : 46.599998474121094
Eval_StdReturn : 21.18584442138672
Eval_MaxReturn : 86.0
Eval_MinReturn : 21.0
Eval_AverageEpLen : 46.6
Train_AverageReturn : 29.123188018798828
Train_StdReturn : 16.389928817749023
Train_MaxReturn : 121.0
Train_MinReturn : 10.0
Train_AverageEpLen : 29.1231884057971
Actor Loss : 102505.5078125
Train_EnvstepsSoFar : 8025
TimeSinceStart : 2.4047114849090576

********** Iteration 2 ************
Eval_AverageReturn : 50.125
Eval_StdReturn : 22.668466567993164
Eval_MaxReturn : 83.0
Eval_MinReturn : 16.0
Eval_AverageEpLen : 50.125
Train_AverageReturn : 41.77083206176758
Train_StdReturn : 23.806283950805664
Train_MaxReturn : 127.0
Train_MinReturn : 10.0
Train_AverageEpLen : 41.770833333333336
Actor Loss : 142855.171875
Train_EnvstepsSoFar : 12035
TimeSinceStart : 3.6235952377319336

********** Iteration 3 ************
Eval_AverageReturn : 55.25
Eval_StdReturn : 22.681215286254883
Eval_MaxReturn : 92.0
Eval_MinReturn : 27.0
Eval_AverageEpLen : 55.25
Train_AverageReturn : 47.511627197265625
