C:\My_Project\ALLEN_Python\homework_fall2023\venv\Scripts\python.exe C:\My_Project\ALLEN_Python\homework_fall2023\hw2\cs285\scripts\run_hw2.py --env_name CartPole-v0 -n 100 -b 4000 -na --exp_name cartpole_lb_na
########################
logging outputs to  C:\My_Project\ALLEN_Python\homework_fall2023\hw2\cs285\scripts\../../data\q2_pg_cartpole_lb_na_CartPole-v0_25-09-2023_20-37-31
########################
Using CPU.

********** Iteration 0 ************
C:\My_Project\ALLEN_Python\homework_fall2023\venv\lib\site-packages\gym\envs\registration.py:593: UserWarning: WARN: The environment CartPole-v0 is out of date. You should consider upgrading to version `v1`.
  logger.warn(
C:\My_Project\ALLEN_Python\homework_fall2023\venv\lib\site-packages\gym\core.py:317: DeprecationWarning: WARN: Initializing wrapper in old step API which returns one bool instead of two. It is recommended to set `new_step_api=True` to use new step API. This will be the default behaviour in future.
  deprecation(
C:\My_Project\ALLEN_Python\homework_fall2023\venv\lib\site-packages\gym\wrappers\step_api_compatibility.py:39: DeprecationWarning: WARN: Initializing environment in old step API which returns one bool instead of two. It is recommended to set `new_step_api=True` to use new step API. This will be the default behaviour in future.
  deprecation(
C:\My_Project\ALLEN_Python\homework_fall2023\venv\lib\site-packages\gym\utils\passive_env_checker.py:241: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
C:\My_Project\ALLEN_Python\homework_fall2023\venv\lib\site-packages\tensorboardX\summary.py:153: DeprecationWarning: Conversion of an array with ndim > 0 to a scalar is deprecated, and will error in future. Ensure you extract a single element from your array before performing this operation. (Deprecated NumPy 1.25.)
  scalar = float(scalar)
Eval_AverageReturn : 37.08333206176758
Eval_StdReturn : 17.12920570373535
Eval_MaxReturn : 65.0
Eval_MinReturn : 12.0
Eval_AverageEpLen : 37.083333333333336
Train_AverageReturn : 24.26060676574707
Train_StdReturn : 13.744376182556152
Train_MaxReturn : 99.0
Train_MinReturn : 9.0
Train_AverageEpLen : 24.26060606060606
Actor Loss : -10.082426071166992
Train_EnvstepsSoFar : 4003
TimeSinceStart : 1.3278601169586182
Initial_DataCollection_AverageReturn : 24.26060676574707

********** Iteration 1 ************
Eval_AverageReturn : 45.0
Eval_StdReturn : 16.44992446899414
Eval_MaxReturn : 77.0
Eval_MinReturn : 12.0
Eval_AverageEpLen : 45.0
Train_AverageReturn : 32.74796676635742
Train_StdReturn : 18.59696388244629
Train_MaxReturn : 100.0
Train_MinReturn : 10.0
Train_AverageEpLen : 32.7479674796748
Actor Loss : -46.577476501464844
Train_EnvstepsSoFar : 8031
TimeSinceStart : 2.626950740814209

********** Iteration 2 ************
Eval_AverageReturn : 58.0
Eval_StdReturn : 20.560884475708008
Eval_MaxReturn : 93.0
Eval_MinReturn : 26.0
Eval_AverageEpLen : 58.0
Train_AverageReturn : 39.77450942993164
Train_StdReturn : 18.734420776367188
Train_MaxReturn : 91.0
Train_MinReturn : 9.0
Train_AverageEpLen : 39.77450980392157
Actor Loss : -61.443878173828125
Train_EnvstepsSoFar : 12088
TimeSinceStart : 4.138798236846924

********** Iteration 3 ************
Eval_AverageReturn : 79.33333587646484
Eval_StdReturn : 33.15452194213867
Eval_MaxReturn : 149.0
Eval_MinReturn : 50.0
Eval_AverageEpLen : 79.33333333333333
Train_AverageReturn : 53.746665954589844
