C:\My_Project\ALLEN_Python\homework_fall2023\venv\Scripts\python.exe C:\My_Project\ALLEN_Python\homework_fall2023\hw2\cs285\scripts\run_hw2.py --env_name HalfCheetah-v4 -n 100 -b 5000 -rtg --discount 0.95 -lr 0.01 --exp_name cheetah
########################
logging outputs to  C:\My_Project\ALLEN_Python\homework_fall2023\hw2\cs285\scripts\../../data\q2_pg_cheetah_HalfCheetah-v4_25-09-2023_21-31-05
########################
Using CPU.
C:\My_Project\ALLEN_Python\homework_fall2023\venv\lib\site-packages\gym\core.py:317: DeprecationWarning: WARN: Initializing wrapper in old step API which returns one bool instead of two. It is recommended to set `new_step_api=True` to use new step API. This will be the default behaviour in future.
  deprecation(
C:\My_Project\ALLEN_Python\homework_fall2023\venv\lib\site-packages\gym\wrappers\step_api_compatibility.py:39: DeprecationWarning: WARN: Initializing environment in old step API which returns one bool instead of two. It is recommended to set `new_step_api=True` to use new step API. This will be the default behaviour in future.
  deprecation(
C:\My_Project\ALLEN_Python\homework_fall2023\venv\lib\site-packages\gym\utils\passive_env_checker.py:241: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):

********** Iteration 0 ************
C:\My_Project\ALLEN_Python\homework_fall2023\venv\lib\site-packages\tensorboardX\summary.py:153: DeprecationWarning: Conversion of an array with ndim > 0 to a scalar is deprecated, and will error in future. Ensure you extract a single element from your array before performing this operation. (Deprecated NumPy 1.25.)
  scalar = float(scalar)
Eval_AverageReturn : -684.64013671875
Eval_StdReturn : 0.0
Eval_MaxReturn : -684.64013671875
Eval_MinReturn : -684.64013671875
Eval_AverageEpLen : 1000.0
Train_AverageReturn : -712.095703125
Train_StdReturn : 67.566162109375
Train_MaxReturn : -649.4592895507812
Train_MinReturn : -842.0916748046875
Train_AverageEpLen : 1000.0
Actor Loss : -599285.625
Train_EnvstepsSoFar : 5000
TimeSinceStart : 1.290334701538086
Initial_DataCollection_AverageReturn : -712.095703125

********** Iteration 1 ************
Eval_AverageReturn : -870.8155517578125
Eval_StdReturn : 0.0
Eval_MaxReturn : -870.8155517578125
Eval_MinReturn : -870.8155517578125
Eval_AverageEpLen : 1000.0
Train_AverageReturn : -842.8111572265625
Train_StdReturn : 30.77361297607422
Train_MaxReturn : -802.9783935546875
Train_MinReturn : -883.790771484375
Train_AverageEpLen : 1000.0
Actor Loss : -701084.5625
Train_EnvstepsSoFar : 10000
TimeSinceStart : 2.5609774589538574

********** Iteration 2 ************
Eval_AverageReturn : -1080.746826171875
Eval_StdReturn : 0.0
Eval_MaxReturn : -1080.746826171875
Eval_MinReturn : -1080.746826171875
Eval_AverageEpLen : 1000.0
Train_AverageReturn : -884.8837890625
Train_StdReturn : 19.935556411743164
Train_MaxReturn : -851.171142578125
Train_MinReturn : -912.8795166015625
Train_AverageEpLen : 1000.0
Actor Loss : -731490.625
Train_EnvstepsSoFar : 15000
TimeSinceStart : 3.818605899810791

********** Iteration 3 ************
Eval_AverageReturn : -965.9161376953125
Eval_StdReturn : 0.0
Eval_MaxReturn : -965.9161376953125
Eval_MinReturn : -965.9161376953125
Eval_AverageEpLen : 1000.0
Train_AverageReturn : -925.2415771484375
Train_StdReturn : 45.77596664428711
Train_MaxReturn : -852.51416015625
Train_MinReturn : -968.8385009765625
Train_AverageEpLen : 1000.0
Actor Loss : -760787.0625
Train_EnvstepsSoFar : 20000
TimeSinceStart : 5.1028218269348145

********** Iteration 4 ************
Eval_AverageReturn : -1010.9664306640625
Eval_StdReturn : 0.0
Eval_MaxReturn : -1010.9664306640625
Eval_MinReturn : -1010.9664306640625
Eval_AverageEpLen : 1000.0
Train_AverageReturn : -1010.9569091796875
Train_StdReturn : 81.8462905883789
Train_MaxReturn : -913.7705078125
Train_MinReturn : -1108.95458984375
Train_AverageEpLen : 1000.0
Actor Loss : -829360.9375
Train_EnvstepsSoFar : 25000
TimeSinceStart : 6.371160984039307

********** Iteration 5 ************
Eval_AverageReturn : -942.8276977539062
Eval_StdReturn : 0.0
Eval_MaxReturn : -942.8276977539062
Eval_MinReturn : -942.8276977539062
Eval_AverageEpLen : 1000.0
Train_AverageReturn : -979.9249877929688
Train_StdReturn : 45.509517669677734
Train_MaxReturn : -909.4283447265625
Train_MinReturn : -1043.6357421875
Train_AverageEpLen : 1000.0
Actor Loss : -799507.75
Train_EnvstepsSoFar : 30000
TimeSinceStart : 7.661728382110596

********** Iteration 6 ************
